Title_ZH,Country,Finished,Genres_EN,Score /5,Status,TMDB_ID,Title_EN,
我變成野獸的夜晚 S1,Japan,4/14/2022,Other,3,Finished,128296,The Night I Became An Animal Season 1,
我變成野獸的夜晚 S2,Japan,4/14/2022,Other,2,Finished,128296,The Night I Became An Animal Season 2,
氣象廳的人們,Korea,4/7/2022,Drama,3,Finished,152511,Forecasting Love and Weather,
品酒要在成為夫妻後,Animate,4/3/2022,Animation,3,Finished,74182,Love Is Like a Cocktail,
美麗的他 S1,Japan,4/3/2022,Other,5,Finished,138385,My Beautiful Man Season 1,
獵罪圖鑑,China,4/3/2022,Drama,4,Finished,139797,Under The Skin,
餘生請多指教,China,4/2/2022,Drama,4,Finished,95044,The Oath of Love,
不正經的魔術講師與禁忌教典,Animate,3/30/2022,Animation,4,Finished,70637,Akashic Records of Bastard Magic Instructor,
長公主在上,China,3/29/2022,Drama,3,Finished,212373,Her Royal Highness,
守護解放西 S1,Variety show,3/28/2022,Other,4,Finished,103397,Guarding JieFangXi,
金田一少年事件簿 S3,Japan,3/26/2022,Other,3,Finished,67492,The Files of Young Kindaichi Neo,
迷心愛痕,Thailand,3/18/2022,Other,3,Finished,139460,Rang Rak Prang Jai,
小太郎獨自生活,Animate,3/17/2022,Other,4,Finished,134581,Kotaro Lives Alone,
轉生成女性向遊戲只有毀滅end的壞人大小姐 S1,Animate,3/16/2022,Other,4,Finished,94904,My Next Life as a Villainess: All Routes Lead to Doom!,
鄰座的怪同學,Animate,3/14/2022,Animation,4,Finished,46041,My Little Monster,
不會戀愛的我們,China,3/6/2022,Comedy,3,Finished,157255,Why Women Love,
謊言使用法則,China,3/5/2022,Other,2,Finished,156172,Better a Lie Than a Truth,
一閃一閃亮星星,China,3/4/2022,Mystery and Drama,3,Finished,156103,Shining For One Thing,
沉睡花園,China,2/11/2022,Drama,4,Finished,152674,Dream Garden,
今生有你,China,2/5/2022,Drama,3,Finished,155877,Because of Love,
那年，我們的夏天,Korea,2/1/2022,Comedy,4,Finished,135897,Our Beloved Summer,
尋骨線索 S6,USA,1/31/2022,Other,4,Finished,1911,Bones Season 6,
開端,China,1/28/2022,"Drama, Mystery, and Sci-Fi & Fantasy",5,Finished,155441,Reset,
尋骨線索 S5,USA,1/22/2022,Other,4,Finished,1911,Bones Season 5,
如果聲音有記憶,China,1/19/2022,Drama,3,Finished,128726,If the Voice Has Memory,
尋骨線索 S4,USA,1/13/2022,Other,4,Finished,1911,Bones Season 4,
記得你,Korea,1/11/2022,Mystery and Drama,3,Finished,62933,I Remember You,
尋骨線索 S3,USA,1/7/2022,Other,4,Finished,1911,Bones Season 3,
尋骨線索 S2,USA,1/6/2022,Other,4,Finished,1911,Bones Season 2,
尋骨線索 S1,USA,1/3/2022,Other,4,Finished,1911,Bones Season 1,
戀慕,Korea,1/1/2022,Drama,4,Finished,129478,The King's Affection,
